row	genotype	experiment	sublock	Block	Type
4419	BGEM-0174-N X B73	HN	sb1	BK4	Hybrid
4420	B73 X MO17	HN	sb1	BK4	Hybrid
4421	BGEM-0107-N X B73	HN	sb1	BK4	Hybrid
4422	BGEM-0039-N X B73	HN	sb1	BK4	Hybrid
4423	BGEM-0045-N X B73	HN	sb1	BK4	Hybrid
4424	BGEM-0062-N X B73	HN	sb1	BK4	Hybrid
4425	BGEM-0087-N X B73	HN	sb1	BK4	Hybrid
4426	B73 X MO17	HN	sb3	BK4	Hybrid
4427	BGEM-0144-N X B73	HN	sb3	BK4	Hybrid
4428	BGEM-0196-N X B73	HN	sb3	BK4	Hybrid
4429	BGEM-0126-N X B73	HN	sb3	BK4	Hybrid
4430	BGEM-0038-N X B73	HN	sb3	BK4	Hybrid
4431	BGEM-0231-N X B73	HN	sb3	BK4	Hybrid
4432	B73 X MO17	HN	sb3	BK4	Hybrid
4433	BGEM-0123-N X B73	HN	sb3	BK4	Hybrid
4434	MO17	HN	sb3	BK4	Hybrid
4435	BGEM-0152-N X B73	HN	sb3	BK4	Hybrid
4436	BGEM-0061-N X B73	HN	sb3	BK4	Hybrid
4437	BGEM-0040-N X B73	HN	sb3	BK4	Hybrid
4438	B73 X MO17	HN	sb3	BK4	Hybrid
4439	MO17	HN	sb3	BK4	Hybrid
4440	BGEM-0207-N X B73	HN	sb3	BK4	Hybrid
4441	BGEM-0224-N X B73	HN	sb3	BK4	Hybrid
4442	BGEM-0235-N X B73	HN	sb3	BK4	Hybrid
4443	BGEM-0089-N X B73	HN	sb3	BK4	Hybrid
4444	B73 X MO17	HN	sb3	BK4	Hybrid
4445	BGEM-0211-N X B73	HN	sb3	BK4	Hybrid
4446	BGEM-0109-N X B73	HN	sb3	BK4	Hybrid
4447	BGEM-0141-N X B73	HN	sb3	BK4	Hybrid
4448	BGEM-0091-N X B73	HN	sb3	BK4	Hybrid
4449	BGEM-0181-N X B73	HN	sb3	BK4	Hybrid
4450	B73 X MO17	HN	sb3	BK4	Hybrid
4451	BGEM-0205-N X B73	HN	sb1	BK4	Hybrid
4452	MO17	HN	sb1	BK4	Hybrid
4453	BGEM-0117-S X MO17	HN	sb1	BK4	Hybrid
4454	BGEM-0263-S X MO17	HN	sb1	BK4	Hybrid
4455	BGEM-0218-S X MO17	HN	sb1	BK4	Hybrid
4456	BGEM-0076-S X MO17	HN	sb1	BK4	Hybrid
4457	BGEM-0033-S X MO17	HN	sb1	BK4	Hybrid
4458	B73 X MO17	HN	sb1	BK4	Hybrid
4459	BGEM-0160-S X MO17	HN	sb1	BK4	Hybrid
4460	BGEM-0226-S X MO17	HN	sb1	BK4	Hybrid
4461	BGEM-0068-S X MO17	HN	sb1	BK4	Hybrid
4462	BGEM-0098-S X MO17	HN	sb1	BK4	Hybrid
4463	BGEM-0137-S X MO17	HN	sb2	BK4	Hybrid
4464	B73 X MO17	HN	sb2	BK4	Hybrid
4465	BGEM-0114-S X MO17	HN	sb2	BK4	Hybrid
4466	BGEM-0168-S X MO17	HN	sb2	BK4	Hybrid
4467	BGEM-0214-S X MO17	HN	sb2	BK4	Hybrid
4468	BGEM-0079-S X MO17	HN	sb2	BK4	Hybrid
4469	BGEM-0163-S X MO17	HN	sb2	BK4	Hybrid
4470	B73 X MO17	HN	sb2	BK4	Hybrid
4471	BGEM-0075-S X MO17	HN	sb2	BK4	Hybrid
4472	BGEM-0043-S X MO17	HN	sb2	BK4	Hybrid
4473	BGEM-0258-S X MO17	HN	sb2	BK4	Hybrid
4474	BGEM-0245-S X MO17	HN	sb2	BK4	Hybrid
4475	BGEM-0010-S X MO17	HN	sb2	BK4	Hybrid
4476	B73 X MO17	HN	sb3	BK4	Hybrid
4477	BGEM-0057-S X MO17	HN	sb3	BK4	Hybrid
4478	BGEM-0024-S X MO17	HN	sb3	BK4	Hybrid
4479	BGEM-0236-S X MO17	HN	sb3	BK4	Hybrid
4480	BGEM-0171-S X MO17	HN	sb3	BK4	Hybrid
4481	BGEM-0050-S X MO17	HN	sb3	BK4	Hybrid
4482	B73 X MO17	HN	sb3	BK4	Hybrid
4483	BGEM-0164-S X MO17	HN	sb3	BK4	Hybrid
4484	BGEM-0243-S X MO17	HN	sb3	BK4	Hybrid
4485	BGEM-0115-S X MO17	HN	sb3	BK4	Hybrid
4486	BGEM-0167-S X MO17	HN	sb3	BK4	Hybrid
4487	BGEM-0116-S X MO17	HN	sb3	BK4	Hybrid
4488	B73 X MO17	HN	sb3	BK4	Hybrid
4489	BGEM-0073-S X MO17	HN	sb4	BK4	Hybrid
4490	BGEM-0199-S X MO17	HN	sb4	BK4	Hybrid
4491	BGEM-0082-S X MO17	HN	sb4	BK4	Hybrid
4492	BGEM-0011-S X MO17	HN	sb4	BK4	Hybrid
4493	BGEM-0028-S X MO17	HN	sb4	BK4	Hybrid
4494	B73 X MO17	HN	sb4	BK4	Hybrid
4495	BGEM-0060-S X MO17	HN	sb4	BK4	Hybrid
4496	BGEM-0222-S X MO17	HN	sb4	BK4	Hybrid
4497	BGEM-0035-S X MO17	HN	sb4	BK4	Hybrid
4498	BGEM-0034-S X MO17	HN	sb4	BK4	Hybrid
4499	BGEM-0071-S X MO17	HN	sb4	BK4	Hybrid
4500	B73 X MO17	HN	sb4	BK4	Hybrid
4501	BGEM-0148-S X MO17	HN	sb2	BK4	Hybrid
4502	BGEM-0188-S X MO17	HN	sb2	BK4	Hybrid
4503	BGEM-0012-S X MO17	HN	sb2	BK4	Hybrid
4504	BGEM-0051-S X MO17	HN	sb2	BK4	Hybrid
4505	BGEM-0092-S X MO17	HN	sb2	BK4	Hybrid
4506	B73 X MO17	HN	sb2	BK4	Hybrid
4507	BGEM-0156-S X MO17	HN	sb2	BK4	Hybrid
4508	LH123 X LH59	HN	sb2	BK4	Hybrid
4509	BGEM-0055-S X MO17	HN	sb2	BK4	Hybrid
4510	BGEM-0049-S X MO17	HN	sb2	BK4	Hybrid
4511	BGEM-0255-S X MO17	HN	sb2	BK4	Hybrid
4512	B73 X MO17	HN	sb2	BK4	Hybrid
4513	BGEM-0036-S X MO17	HN	sb2	BK4	Hybrid
4514	BGEM-0072-S X MO17	HN	sb2	BK4	Hybrid
4515	BGEM-0173-S X MO17	HN	sb2	BK4	Hybrid
4516	BGEM-0261-S X MO17	HN	sb2	BK4	Hybrid
4517	BGEM-0111-S X MO17	HN	sb2	BK4	Hybrid
4518	B73 X MO17	HN	sb2	BK4	Hybrid
4519	BGEM-0078-S X MO17	HN	sb2	BK4	Hybrid
4520	BGEM-0081-S X MO17	HN	sb2	BK4	Hybrid
4521	BGEM-0108-S X MO17	HN	sb2	BK4	Hybrid
4522	BGEM-0165-S X MO17	HN	sb2	BK4	Hybrid
4523	BGEM-0257-S X MO17	HN	sb2	BK4	Hybrid
4524	B73 X MO17	HN	sb2	BK4	Hybrid
4525	BGEM-0101-S X MO17	HN	sb2	BK4	Hybrid
4526	BGEM-0094-S X MO17	HN	sb4	BK4	Hybrid
4527	BGEM-0179-S X MO17	HN	sb4	BK4	Hybrid
4528	BGEM-0170-S X MO17	HN	sb4	BK4	Hybrid
4529	BGEM-0220-S X MO17	HN	sb4	BK4	Hybrid
4530	B73 X MO17	HN	sb4	BK4	Hybrid
4531	BGEM-0044-S X MO17	HN	sb4	BK4	Hybrid
4532	BGEM-0189-S X MO17	HN	sb4	BK4	Hybrid
4533	BGEM-0030-S X MO17	HN	sb4	BK4	Hybrid
4534	BGEM-0070-S X MO17	HN	sb4	BK4	Hybrid
4535	BGEM-0219-S X MO17	HN	sb4	BK4	Hybrid
4536	B73 X MO17	HN	sb4	BK4	Hybrid
4537	BGEM-0052-S X MO17	HN	sb4	BK4	Hybrid
4538	BGEM-0048-S X MO17	HN	sb4	BK4	Hybrid
4539	BGEM-0244-S X MO17	HN	sb4	BK4	Hybrid
4540	BGEM-0252-S X MO17	HN	sb4	BK4	Hybrid
4541	BGEM-0084-S X MO17	HN	sb4	BK4	Hybrid
4542	B73 X MO17	HN	sb4	BK4	Hybrid
4543	LH132 X B73	HN	sb4	BK4	Hybrid
4544	LH109 X LH59	HN	sb4	BK4	Hybrid
4545	BGEM-0014-S X MO17	HN	sb4	BK4	Hybrid
4546	BGEM-0233-S X MO17	HN	sb4	BK4	Hybrid
4547	BGEM-0015-S X MO17	HN	sb4	BK4	Hybrid
4548	B73 X MO17	HN	sb4	BK4	Hybrid
4549	BGEM-0047-S X MO17	HN	sb4	BK4	Hybrid
4550	BGEM-0056-S X MO17	HN	sb4	BK4	Hybrid
4551	BGEM-0198-S X MO17	HN	sb2	BK4	Hybrid
4552	BGEM-0023-S X MO17	HN	sb2	BK4	Hybrid
4553	BGEM-0113-S X MO17	HN	sb2	BK4	Hybrid
4554	B73 X MO17	HN	sb2	BK4	Hybrid
4555	BGEM-0251-S X MO17	HN	sb2	BK4	Hybrid
4556	BGEM-0200-S X MO17	HN	sb2	BK4	Hybrid
4557	BGEM-0053-S X MO17	HN	sb2	BK4	Hybrid
4558	BGEM-0118-S X MO17	HN	sb2	BK4	Hybrid
4559	BGEM-0032-S X MO17	HN	sb2	BK4	Hybrid
4560	B73 X MO17	HN	sb2	BK4	Hybrid
4561	BGEM-0180-S X MO17	HN	sb2	BK4	Hybrid
4562	BGEM-0059-S X MO17	HN	sb2	BK4	Hybrid
4563	BGEM-0019-S X MO17	HN	sb2	BK4	Hybrid
4564	BGEM-0254-S X MO17	HN	sb2	BK4	Hybrid
4565	BGEM-0221-S X MO17	HN	sb2	BK4	Hybrid
4566	B73 X MO17	HN	sb2	BK4	Hybrid
4567	BGEM-0022-S X MO17	HN	sb2	BK4	Hybrid
4568	BGEM-0134-S X MO17	HN	sb2	BK4	Hybrid
4569	BGEM-0162-S X MO17	HN	sb2	BK4	Hybrid
4570	BGEM-0026-S X MO17	HN	sb2	BK4	Hybrid
4571	BGEM-0178-S X MO17	HN	sb2	BK4	Hybrid
4572	B73 X MO17	HN	sb2	BK4	Hybrid
4573	BGEM-0153-S X MO17	HN	sb2	BK4	Hybrid
4574	BGEM-0147-S X MO17	HN	sb2	BK4	Hybrid
4575	BGEM-0154-S X MO17	HN	sb2	BK4	Hybrid
4576	BGEM-0029-S X MO17	HN	sb4	BK4	Hybrid
4577	BGEM-0136-S X MO17	HN	sb4	BK4	Hybrid
4578	B73 X MO17	HN	sb4	BK4	Hybrid
4579	BGEM-0159-S X MO17	HN	sb4	BK4	Hybrid
4580	BGEM-0175-S X MO17	HN	sb4	BK4	Hybrid
4581	BGEM-0197-S X MO17	HN	sb4	BK4	Hybrid
4582	BGEM-0054-S X MO17	HN	sb4	BK4	Hybrid
4583	BGEM-0021-S X MO17	HN	sb4	BK4	Hybrid
4584	B73 X MO17	HN	sb4	BK4	Hybrid
4585	BGEM-0158-S X MO17	HN	sb4	BK4	Hybrid
4586	BGEM-0027-S X MO17	HN	sb4	BK4	Hybrid
4587	BGEM-0250-S X MO17	HN	sb4	BK4	Hybrid
4588	BGEM-0161-S X MO17	HN	sb4	BK4	Hybrid
4589	BGEM-0177-S X MO17	HN	sb4	BK4	Hybrid
4590	B73 X MO17	HN	sb4	BK4	Hybrid
4591	BGEM-0112-S X MO17	HN	sb4	BK4	Hybrid
4592	BGEM-0083-S X MO17	HN	sb4	BK4	Hybrid
4593	BGEM-0264-S X MO17	HN	sb4	BK4	Hybrid
4594	BGEM-0187-S X MO17	HN	sb4	BK4	Hybrid
4595	BGEM-0006-S X MO17	HN	sb4	BK4	Hybrid
4596	B73 X MO17	HN	sb4	BK4	Hybrid
4597	B73 X MO17	HN	sb4	BK4	Hybrid
4598	B73 X MO17	HN	sb4	BK4	Hybrid
4599	B73 X MO17	HN	sb4	BK4	Hybrid
4600	B73 X MO17	HN	sb4	BK4	Hybrid
