Trait	Heritability	pop	N
ASV_1113	0	Inbred	HN
ASV_707	0	Inbred	HN
ASV_203	0.0967770386714365	Inbred	HN
ASV_1305	0	Inbred	HN
ASV_657	0.0408360366814769	Inbred	HN
ASV_614	0.0570273943921032	Inbred	HN
ASV_656	0.000000000000280632473580871	Inbred	HN
ASV_930	0	Inbred	HN
ASV_205	0	Inbred	HN
ASV_1657	0	Inbred	HN
ASV_2013	0	Inbred	HN
ASV_138	0.141623892973454	Inbred	HN
ASV_44	0.194163542645696	Inbred	HN
ASV_1918	0.0154685182864893	Inbred	HN
ASV_448	0.00000300388899227502	Inbred	HN
ASV_1346	0.104448441563894	Inbred	HN
ASV_1164	0.00177225312196552	Inbred	HN
ASV_2391	0.043798734825237	Inbred	HN
ASV_955	0.0655970253466283	Inbred	HN
ASV_1619	0	Inbred	HN
ASV_1671	0.0479909113432186	Inbred	HN
ASV_2534	0.372245225680534	Inbred	HN
ASV_902	0.150195114704112	Inbred	HN
ASV_1968	0.00000000119082857042645	Inbred	HN
ASV_1323	0	Inbred	HN
ASV_2392	0.000000226339795858613	Inbred	HN
ASV_905	0.0767256293301622	Inbred	HN
ASV_990	0.0379426468664923	Inbred	HN
ASV_1714	0.0207492798850161	Inbred	HN
ASV_1035	0.163432067847857	Inbred	HN
ASV_1256	0.0722408873691076	Inbred	HN
ASV_415	0.0734387708130858	Inbred	HN
ASV_199	0.193706977030876	Inbred	HN
ASV_1744	0.125505434139097	Inbred	HN
ASV_919	0.000000157218706516217	Inbred	HN
ASV_1153	0	Inbred	HN
ASV_1530	0	Inbred	HN
ASV_116	0	Inbred	HN
ASV_556	0.0513430634088231	Inbred	HN
ASV_1195	0.00000047485364375973	Inbred	HN
ASV_267	0	Inbred	HN
ASV_1313	0	Inbred	HN
ASV_1420	0	Inbred	HN
ASV_933	0.335018279511719	Inbred	HN
ASV_1131	0	Inbred	HN
ASV_474	0.069370276174257	Inbred	HN
ASV_338	0.0257184011993573	Inbred	HN
ASV_1106	0	Inbred	HN
ASV_729	0.0105665482754131	Inbred	HN
ASV_1781	0.0174970453566019	Inbred	HN
ASV_318	0	Inbred	HN
ASV_359	0.0534018281737295	Inbred	HN
ASV_293	0.0274229290766307	Inbred	HN
ASV_186	0.197108652617904	Inbred	HN
ASV_804	0.0205250078615425	Inbred	HN
ASV_672	0.07667143654455	Inbred	HN
ASV_2048	0	Inbred	HN
ASV_1127	0.00167877657301898	Inbred	HN
ASV_2032	0	Inbred	HN
ASV_240	0	Inbred	HN
ASV_105	0.0000000466763434011122	Inbred	HN
ASV_720	0.0445935900628432	Inbred	HN
ASV_1510	0	Inbred	HN
ASV_660	0.171006797973137	Inbred	HN
ASV_2213	0	Inbred	HN
ASV_2096	0.151707063803522	Inbred	HN
ASV_2400	0.00000000237341664225315	Inbred	HN
ASV_2369	0.0000000113506742852303	Inbred	HN
ASV_997	0.125429269779567	Inbred	HN
ASV_423	0.0210853998615078	Inbred	HN
ASV_1380	0.0000000980290740045932	Inbred	HN
ASV_2123	0	Inbred	HN
ASV_2201	0	Inbred	HN
ASV_1750	0	Inbred	HN
ASV_1079	0.104261966677062	Inbred	HN
ASV_2476	0.000000000000127644195898631	Inbred	HN
ASV_587	0.000000000630201760907935	Inbred	HN
ASV_1823	0.00000000288800990557265	Inbred	HN
ASV_719	0	Inbred	HN
ASV_355	0	Inbred	HN
ASV_945	0	Inbred	HN
ASV_128	0	Inbred	HN
ASV_1240	0	Inbred	HN
